Borough,AgeAsOf2015,n
Bronx,1,589
Bronx,2,1185
Bronx,3,1213
Bronx,4,934
Bronx,5,817
Bronx,6,777
Bronx,7,691
Bronx,8,631
Bronx,9,547
Bronx,10,413
Bronx,11,356
Bronx,12,264
Bronx,13,229
Bronx,14,188
Bronx,15,164
Bronx,16,123
Bronx,17,43
Bronx,18,23
Brooklyn,1,1262
Brooklyn,2,2564
Brooklyn,3,2575
Brooklyn,4,2093
Brooklyn,5,1914
Brooklyn,6,1757
Brooklyn,7,1727
Brooklyn,8,1419
Brooklyn,9,1287
Brooklyn,10,1052
Brooklyn,11,941
Brooklyn,12,807
Brooklyn,13,629
Brooklyn,14,433
Brooklyn,15,333
Brooklyn,16,234
Brooklyn,17,115
Brooklyn,18,48
Manhattan,1,1806
Manhattan,2,3725
Manhattan,3,3555
Manhattan,4,3037
Manhattan,5,2631
Manhattan,6,2486
Manhattan,7,2209
Manhattan,8,2107
Manhattan,9,1910
Manhattan,10,1539
Manhattan,11,1393
Manhattan,12,1175
Manhattan,13,1044
Manhattan,14,815
Manhattan,15,592
Manhattan,16,420
Manhattan,17,223
Manhattan,18,111
Queens,1,1013
Queens,2,1968
Queens,3,1980
Queens,4,1605
Queens,5,1403
Queens,6,1403
Queens,7,1307
Queens,8,1274
Queens,9,1212
Queens,10,1007
Queens,11,911
Queens,12,743
Queens,13,646
Queens,14,461
Queens,15,308
Queens,16,252
Queens,17,140
Queens,18,55
Staten Island,1,306
Staten Island,2,712
Staten Island,3,736
Staten Island,4,592
Staten Island,5,511
Staten Island,6,579
Staten Island,7,708
Staten Island,8,640
Staten Island,9,677
Staten Island,10,594
Staten Island,11,470
Staten Island,12,513
Staten Island,13,394
Staten Island,14,287
Staten Island,15,199
Staten Island,16,141
Staten Island,17,76
Staten Island,18,33
